adm1,adm2,adm3,adm4,kode_diminta,provinsi,kotkab,kecamatan,desa,analysis_date,utc_datetime,local_datetime,time_index,t,hu,tp,tcc,ws,wd,wd_deg,wd_to,vs,vs_text,weather,weather_desc,weather_desc_en,image,datetime
33,33.74,33.74.01,33.74.01.1005,33.74.01.1005,Jawa Tengah,Kota Semarang,Semarang Tengah,Gabahan,2026-09-19T12:00:00,2026-09-20 07:00:00,2026-09-20 14:00:00,18-19,32,60,0.1,18,12.6,NW,345,SE,,,1,Cerah,Sunny,https://api-apps.bmkg.go.id/storage/icon/cuaca/cerah-am.svg,2026-09-20T07:00:00Z
33,33.74,33.74.01,33.74.01.1005,33.74.01.1005,Jawa Tengah,Kota Semarang,Semarang Tengah,Gabahan,2026-09-19T12:00:00,2026-09-20 10:00:00,2026-09-20 17:00:00,21-22,29,78,0,6,8,W,285,E,,,0,Cerah,Sunny,https://api-apps.bmkg.go.id/storage/icon/cuaca/cerah-am.svg,2026-09-20T10:00:00Z
33,33.74,33.74.01,33.74.01.1005,33.74.01.1005,Jawa Tengah,Kota Semarang,Semarang Tengah,Gabahan,2026-09-19T12:00:00,2026-09-20 13:00:00,2026-09-20 20:00:00,24-25,28,78,0.2,9,3.3,SE,149,NW,,,0,Cerah,Sunny,https://api-apps.bmkg.go.id/storage/icon/cuaca/cerah-pm.svg,2026-09-20T13:00:00Z
33,33.74,33.74.01,33.74.01.1005,33.74.01.1005,Jawa Tengah,Kota Semarang,Semarang Tengah,Gabahan,2026-09-19T12:00:00,2026-09-20 16:00:00,2026-09-20 23:00:00,27-28,27,81,0,0,6.7,E,134,W,,,0,Cerah,Sunny,https://api-apps.bmkg.go.id/storage/icon/cuaca/cerah-pm.svg,2026-09-20T16:00:00Z
33,33.74,33.74.01,33.74.01.1005,33.74.01.1005,Jawa Tengah,Kota Semarang,Semarang Tengah,Gabahan,2026-09-19T12:00:00,2026-09-20 19:00:00,2026-09-21 02:00:00,30-31,26,78,0,0,9.3,SE,137,NW,,,0,Cerah,Sunny,https://api-apps.bmkg.go.id/storage/icon/cuaca/cerah-pm.svg,2026-09-20T19:00:00Z
33,33.74,33.74.01,33.74.01.1005,33.74.01.1005,Jawa Tengah,Kota Semarang,Semarang Tengah,Gabahan,2026-09-19T12:00:00,2026-09-20 22:00:00,2026-09-21 05:00:00,33-34,25,73,0,0,13.1,E,134,W,,,0,Cerah,Sunny,https://api-apps.bmkg.go.id/storage/icon/cuaca/cerah-pm.svg,2026-09-20T22:00:00Z
33,33.74,33.74.01,33.74.01.1005,33.74.01.1005,Jawa Tengah,Kota Semarang,Semarang Tengah,Gabahan,2026-09-19T12:00:00,2026-09-21 01:00:00,2026-09-21 08:00:00,36-37,30,56,0,0,16.1,E,117,W,,,0,Cerah,Sunny,https://api-apps.bmkg.go.id/storage/icon/cuaca/cerah-am.svg,2026-09-21T01:00:00Z
33,33.74,33.74.01,33.74.01.1005,33.74.01.1005,Jawa Tengah,Kota Semarang,Semarang Tengah,Gabahan,2026-09-19T12:00:00,2026-09-21 04:00:00,2026-09-21 11:00:00,39-40,34,44,0,29,12.6,E,97,W,,,1,Cerah,Sunny,https://api-apps.bmkg.go.id/storage/icon/cuaca/cerah-am.svg,2026-09-21T04:00:00Z
33,33.74,33.74.01,33.74.01.1005,33.74.01.1005,Jawa Tengah,Kota Semarang,Semarang Tengah,Gabahan,2026-09-19T12:00:00,2026-09-21 07:00:00,2026-09-21 14:00:00,42-43,32,62,0.1,19,11.1,NW,331,SE,,,1,Cerah,Sunny,https://api-apps.bmkg.go.id/storage/icon/cuaca/cerah-am.svg,2026-09-21T07:00:00Z
33,33.74,33.74.01,33.74.01.1005,33.74.01.1005,Jawa Tengah,Kota Semarang,Semarang Tengah,Gabahan,2026-09-19T12:00:00,2026-09-21 10:00:00,2026-09-21 17:00:00,45-46,29,71,0.1,10,10.8,W,281,E,,,1,Cerah,Sunny,https://api-apps.bmkg.go.id/storage/icon/cuaca/cerah-am.svg,2026-09-21T10:00:00Z
33,33.74,33.74.01,33.74.01.1005,33.74.01.1005,Jawa Tengah,Kota Semarang,Semarang Tengah,Gabahan,2026-09-19T12:00:00,2026-09-21 13:00:00,2026-09-21 20:00:00,48-49,27,82,0.2,30,6.7,E,98,W,,,1,Cerah,Sunny,https://api-apps.bmkg.go.id/storage/icon/cuaca/cerah-pm.svg,2026-09-21T13:00:00Z
33,33.74,33.74.01,33.74.01.1005,33.74.01.1005,Jawa Tengah,Kota Semarang,Semarang Tengah,Gabahan,2026-09-19T12:00:00,2026-09-21 16:00:00,2026-09-21 23:00:00,51-52,26,77,0,6,6.7,SE,139,NW,,,0,Cerah,Sunny,https://api-apps.bmkg.go.id/storage/icon/cuaca/cerah-pm.svg,2026-09-21T16:00:00Z
33,33.74,33.74.01,33.74.01.1006,33.74.01.1006,Jawa Tengah,Kota Semarang,Semarang Tengah,Kembangsari,2026-09-19T12:00:00,2026-09-19 16:00:00,2026-09-19 23:00:00,3-4,26,73,0,33,4.7,SE,159,NW,,,1,Cerah,Sunny,https://api-apps.bmkg.go.id/storage/icon/cuaca/cerah-pm.svg,2026-09-19T16:00:00Z
33,33.74,33.74.01,33.74.01.1006,33.74.01.1006,Jawa Tengah,Kota Semarang,Semarang Tengah,Kembangsari,2026-09-19T12:00:00,2026-09-19 19:00:00,2026-09-20 02:00:00,6-7,25,74,0,1,7,SE,142,NW,,,0,Cerah,Sunny,https://api-apps.bmkg.go.id/storage/icon/cuaca/cerah-pm.svg,2026-09-19T19:00:00Z
33,33.74,33.74.01,33.74.01.1006,33.74.01.1006,Jawa Tengah,Kota Semarang,Semarang Tengah,Kembangsari,2026-09-19T12:00:00,2026-09-19 22:00:00,2026-09-20 05:00:00,9-10,25,69,0,0,8.3,E,130,W,,,0,Cerah,Sunny,https://api-apps.bmkg.go.id/storage/icon/cuaca/cerah-pm.svg,2026-09-19T22:00:00Z
33,33.74,33.74.01,33.74.01.1006,33.74.01.1006,Jawa Tengah,Kota Semarang,Semarang Tengah,Kembangsari,2026-09-19T12:00:00,2026-09-20 01:00:00,2026-09-20 08:00:00,12-13,30,53,0,0,12.7,E,108,W,,,0,Cerah,Sunny,https://api-apps.bmkg.go.id/storage/icon/cuaca/cerah-am.svg,2026-09-20T01:00:00Z
33,33.74,33.74.01,33.74.01.1006,33.74.01.1006,Jawa Tengah,Kota Semarang,Semarang Tengah,Kembangsari,2026-09-19T12:00:00,2026-09-20 04:00:00,2026-09-20 11:00:00,15-16,34,45,0,2,8.9,NE,61,SW,,,0,Cerah,Sunny,https://api-apps.bmkg.go.id/storage/icon/cuaca/cerah-am.svg,2026-09-20T04:00:00Z
33,33.74,33.74.01,33.74.01.1006,33.74.01.1006,Jawa Tengah,Kota Semarang,Semarang Tengah,Kembangsari,2026-09-19T12:00:00,2026-09-20 07:00:00,2026-09-20 14:00:00,18-19,32,60,0.1,18,12.6,NW,345,SE,,,1,Cerah,Sunny,https://api-apps.bmkg.go.id/storage/icon/cuaca/cerah-am.svg,2026-09-20T07:00:00Z
33,33.74,33.74.01,33.74.01.1006,33.74.01.1006,Jawa Tengah,Kota Semarang,Semarang Tengah,Kembangsari,2026-09-19T12:00:00,2026-09-20 10:00:00,2026-09-20 17:00:00,21-22,29,78,0,6,8,W,285,E,,,0,Cerah,Sunny,https://api-apps.bmkg.go.id/storage/icon/cuaca/cerah-am.svg,2026-09-20T10:00:00Z
33,33.74,33.74.01,33.74.01.1006,33.74.01.1006,Jawa Tengah,Kota Semarang,Semarang Tengah,Kembangsari,2026-09-19T12:00:00,2026-09-20 13:00:00,2026-09-20 20:00:00,24-25,28,78,0.2,9,3.3,SE,149,NW,,,0,Cerah,Sunny,https://api-apps.bmkg.go.id/storage/icon/cuaca/cerah-pm.svg,2026-09-20T13:00:00Z
33,33.74,33.74.01,33.74.01.1006,33.74.01.1006,Jawa Tengah,Kota Semarang,Semarang Tengah,Kembangsari,2026-09-19T12:00:00,2026-09-20 16:00:00,2026-09-20 23:00:00,27-28,27,81,0,0,6.7,E,134,W,,,0,Cerah,Sunny,https://api-apps.bmkg.go.id/storage/icon/cuaca/cerah-pm.svg,2026-09-20T16:00:00Z
33,33.74,33.74.01,33.74.01.1006,33.74.01.1006,Jawa Tengah,Kota Semarang,Semarang Tengah,Kembangsari,2026-09-19T12:00:00,2026-09-20 19:00:00,2026-09-21 02:00:00,30-31,26,78,0,0,9.3,SE,137,NW,,,0,Cerah,Sunny,https://api-apps.bmkg.go.id/storage/icon/cuaca/cerah-pm.svg,2026-09-20T19:00:00Z
33,33.74,33.74.01,33.74.01.1006,33.74.01.1006,Jawa Tengah,Kota Semarang,Semarang Tengah,Kembangsari,2026-09-19T12:00:00,2026-09-20 22:00:00,2026-09-21 05:00:00,33-34,25,73,0,0,13.1,E,134,W,,,0,Cerah,Sunny,https://api-apps.bmkg.go.id/storage/icon/cuaca/cerah-pm.svg,2026-09-20T22:00:00Z
33,33.74,33.74.01,33.74.01.1006,33.74.01.1006,Jawa Tengah,Kota Semarang,Semarang Tengah,Kembangsari,2026-09-19T12:00:00,2026-09-21 01:00:00,2026-09-21 08:00:00,36-37,30,56,0,0,16.1,E,117,W,,,0,Cerah,Sunny,https://api-apps.bmkg.go.id/storage/icon/cuaca/cerah-am.svg,2026-09-21T01:00:00Z
33,33.74,33.74.01,33.74.01.1006,33.74.01.1006,Jawa Tengah,Kota Semarang,Semarang Tengah,Kembangsari,2026-09-19T12:00:00,2026-09-21 04:00:00,2026-09-21 11:00:00,39-40,34,44,0,29,12.6,E,97,W,,,1,Cerah,Sunny,https://api-apps.bmkg.go.id/storage/icon/cuaca/cerah-am.svg,2026-09-21T04:00:00Z
33,33.74,33.74.01,33.74.01.1006,33.74.01.1006,Jawa Tengah,Kota Semarang,Semarang Tengah,Kembangsari,2026-09-19T12:00:00,2026-09-21 07:00:00,2026-09-21 14:00:00,42-43,32,62,0.1,19,11.1,NW,331,SE,,,1,Cerah,Sunny,https://api-apps.bmkg.go.id/storage/icon/cuaca/cerah-am.svg,2026-09-21T07:00:00Z
33,33.74,33.74.01,33.74.01.1006,33.74.01.1006,Jawa Tengah,Kota Semarang,Semarang Tengah,Kembangsari,2026-09-19T12:00:00,2026-09-21 10:00:00,2026-09-21 17:00:00,45-46,29,71,0.1,10,10.8,W,281,E,,,1,Cerah,Sunny,https://api-apps.bmkg.go.id/storage/icon/cuaca/cerah-am.svg,2026-09-21T10:00:00Z
33,33.74,33.74.01,33.74.01.1006,33.74.01.1006,Jawa Tengah,Kota Semarang,Semarang Tengah,Kembangsari,2026-09-19T12:00:00,2026-09-21 13:00:00,2026-09-21 20:00:00,48-49,27,82,0.2,30,6.7,E,98,W,,,1,Cerah,Sunny,https://api-apps.bmkg.go.id/storage/icon/cuaca/cerah-pm.svg,2026-09-21T13:00:00Z
33,33.74,33.74.01,33.74.01.1006,33.74.01.1006,Jawa Tengah,Kota Semarang,Semarang Tengah,Kembangsari,2026-09-19T12:00:00,2026-09-21 16:00:00,2026-09-21 23:00:00,51-52,26,77,0,6,6.7,SE,139,NW,,,0,Cerah,Sunny,https://api-apps.bmkg.go.id/storage/icon/cuaca/cerah-pm.svg,2026-09-21T16:00:00Z
33,33.74,33.74.01,33.74.01.1007,33.74.01.1007,Jawa Tengah,Kota Semarang,Semarang Tengah,Sekayu,2026-09-19T12:00:00,2026-09-19 15:00:00,2026-09-19 22:00:00,2-3,27,74,0,3,4.4,E,114,W,,,0,Cerah,Sunny,https://api-apps.bmkg.go.id/storage/icon/cuaca/cerah-pm.svg,2026-09-19T15:00:00Z
33,33.74,33.74.01,33.74.01.1007,33.74.01.1007,Jawa Tengah,Kota Semarang,Semarang Tengah,Sekayu,2026-09-19T12:00:00,2026-09-19 18:00:00,2026-09-20 01:00:00,5-6,25,75,0,0,4.7,SE,159,NW,,,0,Cerah,Sunny,https://api-apps.bmkg.go.id/storage/icon/cuaca/cerah-pm.svg,2026-09-19T18:00:00Z
33,33.74,33.74.01,33.74.01.1007,33.74.01.1007,Jawa Tengah,Kota Semarang,Semarang Tengah,Sekayu,2026-09-19T12:00:00,2026-09-19 21:00:00,2026-09-20 04:00:00,8-9,25,72,0,0,7,SE,142,NW,,,0,Cerah,Sunny,https://api-apps.bmkg.go.id/storage/icon/cuaca/cerah-pm.svg,2026-09-19T21:00:00Z
33,33.74,33.74.01,33.74.01.1007,33.74.01.1007,Jawa Tengah,Kota Semarang,Semarang Tengah,Sekayu,2026-09-19T12:00:00,2026-09-20 00:00:00,2026-09-20 07:00:00,11-12,29,56,0,4,8.3,E,130,W,,,0,Cerah,Sunny,https://api-apps.bmkg.go.id/storage/icon/cuaca/cerah-am.svg,2026-09-20T00:00:00Z
33,33.74,33.74.01,33.74.01.1007,33.74.01.1007,Jawa Tengah,Kota Semarang,Semarang Tengah,Sekayu,2026-09-19T12:00:00,2026-09-20 03:00:00,2026-09-20 10:00:00,14-15,33,47,0,1,12.7,E,108,W,,,0,Cerah,Sunny,https://api-apps.bmkg.go.id/storage/icon/cuaca/cerah-am.svg,2026-09-20T03:00:00Z
33,33.74,33.74.01,33.74.01.1007,33.74.01.1007,Jawa Tengah,Kota Semarang,Semarang Tengah,Sekayu,2026-09-19T12:00:00,2026-09-20 06:00:00,2026-09-20 13:00:00,17-18,34,49,0.1,5,8.9,NE,61,SW,,,0,Cerah,Sunny,https://api-apps.bmkg.go.id/storage/icon/cuaca/cerah-am.svg,2026-09-20T06:00:00Z
33,33.74,33.74.01,33.74.01.1007,33.74.01.1007,Jawa Tengah,Kota Semarang,Semarang Tengah,Sekayu,2026-09-19T12:00:00,2026-09-20 09:00:00,2026-09-20 16:00:00,20-21,29,74,0,13,12.6,NW,345,SE,,,1,Cerah,Sunny,https://api-apps.bmkg.go.id/storage/icon/cuaca/cerah-am.svg,2026-09-20T09:00:00Z
33,33.74,33.74.01,33.74.01.1007,33.74.01.1007,Jawa Tengah,Kota Semarang,Semarang Tengah,Sekayu,2026-09-19T12:00:00,2026-09-20 12:00:00,2026-09-20 19:00:00,23-24,28,76,0.2,17,8,W,285,E,,,1,Cerah,Sunny,https://api-apps.bmkg.go.id/storage/icon/cuaca/cerah-pm.svg,2026-09-20T12:00:00Z
33,33.74,33.74.01,33.74.01.1007,33.74.01.1007,Jawa Tengah,Kota Semarang,Semarang Tengah,Sekayu,2026-09-19T12:00:00,2026-09-20 15:00:00,2026-09-20 22:00:00,26-27,27,82,0,0,3.3,SE,149,NW,,,0,Cerah,Sunny,https://api-apps.bmkg.go.id/storage/icon/cuaca/cerah-pm.svg,2026-09-20T15:00:00Z
33,33.74,33.74.01,33.74.01.1007,33.74.01.1007,Jawa Tengah,Kota Semarang,Semarang Tengah,Sekayu,2026-09-19T12:00:00,2026-09-20 18:00:00,2026-09-21 01:00:00,29-30,26,80,0,0,6.7,E,134,W,,,0,Cerah,Sunny,https://api-apps.bmkg.go.id/storage/icon/cuaca/cerah-pm.svg,2026-09-20T18:00:00Z
33,33.74,33.74.01,33.74.01.1007,33.74.01.1007,Jawa Tengah,Kota Semarang,Semarang Tengah,Sekayu,2026-09-19T12:00:00,2026-09-20 21:00:00,2026-09-21 04:00:00,32-33,26,74,0,0,9.3,SE,137,NW,,,0,Cerah,Sunny,https://api-apps.bmkg.go.id/storage/icon/cuaca/cerah-pm.svg,2026-09-20T21:00:00Z
33,33.74,33.74.01,33.74.01.1007,33.74.01.1007,Jawa Tengah,Kota Semarang,Semarang Tengah,Sekayu,2026-09-19T12:00:00,2026-09-21 00:00:00,2026-09-21 07:00:00,35-36,28,61,0,0,13.1,E,134,W,,,0,Cerah,Sunny,https://api-apps.bmkg.go.id/storage/icon/cuaca/cerah-am.svg,2026-09-21T00:00:00Z
33,33.74,33.74.01,33.74.01.1007,33.74.01.1007,Jawa Tengah,Kota Semarang,Semarang Tengah,Sekayu,2026-09-19T12:00:00,2026-09-21 03:00:00,2026-09-21 10:00:00,38-39,33,46,0,4,16.1,E,117,W,,,0,Cerah,Sunny,https://api-apps.bmkg.go.id/storage/icon/cuaca/cerah-am.svg,2026-09-21T03:00:00Z
33,33.74,33.74.01,33.74.01.1007,33.74.01.1007,Jawa Tengah,Kota Semarang,Semarang Tengah,Sekayu,2026-09-19T12:00:00,2026-09-21 06:00:00,2026-09-21 13:00:00,41-42,34,52,0.1,17,12.6,E,97,W,,,1,Cerah,Sunny,https://api-apps.bmkg.go.id/storage/icon/cuaca/cerah-am.svg,2026-09-21T06:00:00Z
33,33.74,33.74.01,33.74.01.1007,33.74.01.1007,Jawa Tengah,Kota Semarang,Semarang Tengah,Sekayu,2026-09-19T12:00:00,2026-09-21 09:00:00,2026-09-21 16:00:00,44-45,30,67,0.1,14,11.1,NW,331,SE,,,1,Cerah,Sunny,https://api-apps.bmkg.go.id/storage/icon/cuaca/cerah-am.svg,2026-09-21T09:00:00Z
33,33.74,33.74.01,33.74.01.1007,33.74.01.1007,Jawa Tengah,Kota Semarang,Semarang Tengah,Sekayu,2026-09-19T12:00:00,2026-09-21 12:00:00,2026-09-21 19:00:00,47-48,28,77,0.2,38,10.8,W,281,E,,,1,Cerah,Sunny,https://api-apps.bmkg.go.id/storage/icon/cuaca/cerah-pm.svg,2026-09-21T12:00:00Z
33,33.74,33.74.01,33.74.01.1007,33.74.01.1007,Jawa Tengah,Kota Semarang,Semarang Tengah,Sekayu,2026-09-19T12:00:00,2026-09-21 15:00:00,2026-09-21 22:00:00,50-51,27,82,0,8,6.7,E,98,W,,,0,Cerah,Sunny,https://api-apps.bmkg.go.id/storage/icon/cuaca/cerah-pm.svg,2026-09-21T15:00:00Z
33,33.74,33.74.01,33.74.01.1008,33.74.01.1008,Jawa Tengah,Kota Semarang,Semarang Tengah,Pandansari,2026-09-19T12:00:00,2026-09-19 16:00:00,2026-09-19 23:00:00,3-4,26,73,0,33,4.7,SE,159,NW,,,1,Cerah,Sunny,https://api-apps.bmkg.go.id/storage/icon/cuaca/cerah-pm.svg,2026-09-19T16:00:00Z
33,33.74,33.74.01,33.74.01.1008,33.74.01.1008,Jawa Tengah,Kota Semarang,Semarang Tengah,Pandansari,2026-09-19T12:00:00,2026-09-19 19:00:00,2026-09-20 02:00:00,6-7,25,74,0,1,7,SE,142,NW,,,0,Cerah,Sunny,https://api-apps.bmkg.go.id/storage/icon/cuaca/cerah-pm.svg,2026-09-19T19:00:00Z
33,33.74,33.74.01,33.74.01.1008,33.74.01.1008,Jawa Tengah,Kota Semarang,Semarang Tengah,Pandansari,2026-09-19T12:00:00,2026-09-19 22:00:00,2026-09-20 05:00:00,9-10,25,69,0,0,8.3,E,130,W,,,0,Cerah,Sunny,https://api-apps.bmkg.go.id/storage/icon/cuaca/cerah-pm.svg,2026-09-19T22:00:00Z
33,33.74,33.74.01,33.74.01.1008,33.74.01.1008,Jawa Tengah,Kota Semarang,Semarang Tengah,Pandansari,2026-09-19T12:00:00,2026-09-20 01:00:00,2026-09-20 08:00:00,12-13,30,53,0,0,12.7,E,108,W,,,0,Cerah,Sunny,https://api-apps.bmkg.go.id/storage/icon/cuaca/cerah-am.svg,2026-09-20T01:00:00Z
33,33.74,33.74.01,33.74.01.1008,33.74.01.1008,Jawa Tengah,Kota Semarang,Semarang Tengah,Pandansari,2026-09-19T12:00:00,2026-09-20 04:00:00,2026-09-20 11:00:00,15-16,34,45,0,2,8.9,NE,61,SW,,,0,Cerah,Sunny,https://api-apps.bmkg.go.id/storage/icon/cuaca/cerah-am.svg,2026-09-20T04:00:00Z
33,33.74,33.74.01,33.74.01.1008,33.74.01.1008,Jawa Tengah,Kota Semarang,Semarang Tengah,Pandansari,2026-09-19T12:00:00,2026-09-20 07:00:00,2026-09-20 14:00:00,18-19,32,60,0.1,18,12.6,NW,345,SE,,,1,Cerah,Sunny,https://api-apps.bmkg.go.id/storage/icon/cuaca/cerah-am.svg,2026-09-20T07:00:00Z
33,33.74,33.74.01,33.74.01.1008,33.74.01.1008,Jawa Tengah,Kota Semarang,Semarang Tengah,Pandansari,2026-09-19T12:00:00,2026-09-20 10:00:00,2026-09-20 17:00:00,21-22,29,78,0,6,8,W,285,E,,,0,Cerah,Sunny,https://api-apps.bmkg.go.id/storage/icon/cuaca/cerah-am.svg,2026-09-20T10:00:00Z
33,33.74,33.74.01,33.74.01.1008,33.74.01.1008,Jawa Tengah,Kota Semarang,Semarang Tengah,Pandansari,2026-09-19T12:00:00,2026-09-20 13:00:00,2026-09-20 20:00:00,24-25,28,78,0.2,9,3.3,SE,149,NW,,,0,Cerah,Sunny,https://api-apps.bmkg.go.id/storage/icon/cuaca/cerah-pm.svg,2026-09-20T13:00:00Z
33,33.74,33.74.01,33.74.01.1008,33.74.01.1008,Jawa Tengah,Kota Semarang,Semarang Tengah,Pandansari,2026-09-19T12:00:00,2026-09-20 16:00:00,2026-09-20 23:00:00,27-28,27,81,0,0,6.7,E,134,W,,,0,Cerah,Sunny,https://api-apps.bmkg.go.id/storage/icon/cuaca/cerah-pm.svg,2026-09-20T16:00:00Z
33,33.74,33.74.01,33.74.01.1008,33.74.01.1008,Jawa Tengah,Kota Semarang,Semarang Tengah,Pandansari,2026-09-19T12:00:00,2026-09-20 19:00:00,2026-09-21 02:00:00,30-31,26,78,0,0,9.3,SE,137,NW,,,0,Cerah,Sunny,https://api-apps.bmkg.go.id/storage/icon/cuaca/cerah-pm.svg,2026-09-20T19:00:00Z
33,33.74,33.74.01,33.74.01.1008,33.74.01.1008,Jawa Tengah,Kota Semarang,Semarang Tengah,Pandansari,2026-09-19T12:00:00,2026-09-20 22:00:00,2026-09-21 05:00:00,33-34,25,73,0,0,13.1,E,134,W,,,0,Cerah,Sunny,https://api-apps.bmkg.go.id/storage/icon/cuaca/cerah-pm.svg,2026-09-20T22:00:00Z
33,33.74,33.74.01,33.74.01.1008,33.74.01.1008,Jawa Tengah,Kota Semarang,Semarang Tengah,Pandansari,2026-09-19T12:00:00,2026-09-21 01:00:00,2026-09-21 08:00:00,36-37,30,56,0,0,16.1,E,117,W,,,0,Cerah,Sunny,https://api-apps.bmkg.go.id/storage/icon/cuaca/cerah-am.svg,2026-09-21T01:00:00Z
33,33.74,33.74.01,33.74.01.1008,33.74.01.1008,Jawa Tengah,Kota Semarang,Semarang Tengah,Pandansari,2026-09-19T12:00:00,2026-09-21 04:00:00,2026-09-21 11:00:00,39-40,34,44,0,29,12.6,E,97,W,,,1,Cerah,Sunny,https://api-apps.bmkg.go.id/storage/icon/cuaca/cerah-am.svg,2026-09-21T04:00:00Z
33,33.74,33.74.01,33.74.01.1008,33.74.01.1008,Jawa Tengah,Kota Semarang,Semarang Tengah,Pandansari,2026-09-19T12:00:00,2026-09-21 07:00:00,2026-09-21 14:00:00,42-43,32,62,0.1,19,11.1,NW,331,SE,,,1,Cerah,Sunny,https://api-apps.bmkg.go.id/storage/icon/cuaca/cerah-am.svg,2026-09-21T07:00:00Z
33,33.74,33.74.01,33.74.01.1008,33.74.01.1008,Jawa Tengah,Kota Semarang,Semarang Tengah,Pandansari,2026-09-19T12:00:00,2026-09-21 10:00:00,2026-09-21 17:00:00,45-46,29,71,0.1,10,10.8,W,281,E,,,1,Cerah,Sunny,https://api-apps.bmkg.go.id/storage/icon/cuaca/cerah-am.svg,2026-09-21T10:00:00Z
33,33.74,33.74.01,33.74.01.1008,33.74.01.1008,Jawa Tengah,Kota Semarang,Semarang Tengah,Pandansari,2026-09-19T12:00:00,2026-09-21 13:00:00,2026-09-21 20:00:00,48-49,27,82,0.2,30,6.7,E,98,W,,,1,Cerah,Sunny,https://api-apps.bmkg.go.id/storage/icon/cuaca/cerah-pm.svg,2026-09-21T13:00:00Z
33,33.74,33.74.01,33.74.01.1008,33.74.01.1008,Jawa Tengah,Kota Semarang,Semarang Tengah,Pandansari,2026-09-19T12:00:00,2026-09-21 16:00:00,2026-09-21 23:00:00,51-52,26,77,0,6,6.7,SE,139,NW,,,0,Cerah,Sunny,https://api-apps.bmkg.go.id/storage/icon/cuaca/cerah-pm.svg,2026-09-21T16:00:00Z
33,33.74,33.74.01,33.74.01.1009,33.74.01.1009,Jawa Tengah,Kota Semarang,Semarang Tengah,Bangunharjo,2026-09-19T12:00:00,2026-09-19 16:00:00,2026-09-19 23:00:00,3-4,26,73,0,33,4.7,SE,159,NW,,,1,Cerah,Sunny,https://api-apps.bmkg.go.id/storage/icon/cuaca/cerah-pm.svg,2026-09-19T16:00:00Z
33,33.74,33.74.01,33.74.01.1009,33.74.01.1009,Jawa Tengah,Kota Semarang,Semarang Tengah,Bangunharjo,2026-09-19T12:00:00,2026-09-19 19:00:00,2026-09-20 02:00:00,6-7,25,74,0,1,7,SE,142,NW,,,0,Cerah,Sunny,https://api-apps.bmkg.go.id/storage/icon/cuaca/cerah-pm.svg,2026-09-19T19:00:00Z
33,33.74,33.74.01,33.74.01.1009,33.74.01.1009,Jawa Tengah,Kota Semarang,Semarang Tengah,Bangunharjo,2026-09-19T12:00:00,2026-09-19 22:00:00,2026-09-20 05:00:00,9-10,25,69,0,0,8.3,E,130,W,,,0,Cerah,Sunny,https://api-apps.bmkg.go.id/storage/icon/cuaca/cerah-pm.svg,2026-09-19T22:00:00Z
33,33.74,33.74.01,33.74.01.1009,33.74.01.1009,Jawa Tengah,Kota Semarang,Semarang Tengah,Bangunharjo,2026-09-19T12:00:00,2026-09-20 01:00:00,2026-09-20 08:00:00,12-13,30,53,0,0,12.7,E,108,W,,,0,Cerah,Sunny,https://api-apps.bmkg.go.id/storage/icon/cuaca/cerah-am.svg,2026-09-20T01:00:00Z
33,33.74,33.74.01,33.74.01.1009,33.74.01.1009,Jawa Tengah,Kota Semarang,Semarang Tengah,Bangunharjo,2026-09-19T12:00:00,2026-09-20 04:00:00,2026-09-20 11:00:00,15-16,34,45,0,2,8.9,NE,61,SW,,,0,Cerah,Sunny,https://api-apps.bmkg.go.id/storage/icon/cuaca/cerah-am.svg,2026-09-20T04:00:00Z
33,33.74,33.74.01,33.74.01.1009,33.74.01.1009,Jawa Tengah,Kota Semarang,Semarang Tengah,Bangunharjo,2026-09-19T12:00:00,2026-09-20 07:00:00,2026-09-20 14:00:00,18-19,32,60,0.1,18,12.6,NW,345,SE,,,1,Cerah,Sunny,https://api-apps.bmkg.go.id/storage/icon/cuaca/cerah-am.svg,2026-09-20T07:00:00Z
33,33.74,33.74.01,33.74.01.1009,33.74.01.1009,Jawa Tengah,Kota Semarang,Semarang Tengah,Bangunharjo,2026-09-19T12:00:00,2026-09-20 10:00:00,2026-09-20 17:00:00,21-22,29,78,0,6,8,W,285,E,,,0,Cerah,Sunny,https://api-apps.bmkg.go.id/storage/icon/cuaca/cerah-am.svg,2026-09-20T10:00:00Z
33,33.74,33.74.01,33.74.01.1009,33.74.01.1009,Jawa Tengah,Kota Semarang,Semarang Tengah,Bangunharjo,2026-09-19T12:00:00,2026-09-20 13:00:00,2026-09-20 20:00:00,24-25,28,78,0.2,9,3.3,SE,149,NW,,,0,Cerah,Sunny,https://api-apps.bmkg.go.id/storage/icon/cuaca/cerah-pm.svg,2026-09-20T13:00:00Z
33,33.74,33.74.01,33.74.01.1009,33.74.01.1009,Jawa Tengah,Kota Semarang,Semarang Tengah,Bangunharjo,2026-09-19T12:00:00,2026-09-20 16:00:00,2026-09-20 23:00:00,27-28,27,81,0,0,6.7,E,134,W,,,0,Cerah,Sunny,https://api-apps.bmkg.go.id/storage/icon/cuaca/cerah-pm.svg,2026-09-20T16:00:00Z
